"filename", "language", "JSON", "TypeScript", "SCSS", "Django Template", "XML", "comment", "blank", "total"
"c:\Source\anita\app\src\app\app.module.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 2, 47
"c:\Source\anita\app\src\app\data\auds-system-sections.enum.ts", "TypeScript", 0, 7, 0, 0, 0, 6, 3, 16
"c:\Source\anita\app\src\app\data\client-sections.enum.ts", "TypeScript", 0, 10, 0, 0, 0, 14, 4, 28
"c:\Source\anita\app\src\app\data\data-structure-extender.class.ts", "TypeScript", 0, 38, 0, 0, 0, 24, 11, 73
"c:\Source\anita\app\src\app\data\db-instances.const.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Source\anita\app\src\app\data\form-models\projects.constant.ts", "TypeScript", 0, 33, 0, 0, 0, 4, 2, 39
"c:\Source\anita\app\src\app\data\form-models\section-builder.constant.ts", "TypeScript", 0, 114, 0, 0, 0, 16, 5, 135
"c:\Source\anita\app\src\app\data\form-models\system-fields-for-sections.constant.ts", "TypeScript", 0, 20, 0, 0, 0, 9, 3, 32
"c:\Source\anita\app\src\app\data\model\form-model-commons.ts", "TypeScript", 0, 81, 0, 0, 0, 30, 9, 120
"c:\Source\anita\app\src\app\data\model\project-info.ts", "TypeScript", 0, 58, 0, 0, 0, 42, 12, 112
"c:\Source\anita\app\src\app\data\sections\auds-sections.const.ts", "TypeScript", 0, 7, 0, 0, 0, 4, 2, 13
"c:\Source\anita\app\src\app\data\sections\auds-settings.const.ts", "TypeScript", 0, 7, 0, 0, 0, 4, 2, 13
"c:\Source\anita\app\src\app\data\sections\local-settings.const.ts", "TypeScript", 0, 17, 0, 0, 0, 20, 6, 43
"c:\Source\anita\app\src\app\data\sections\projects.const.ts", "TypeScript", 0, 12, 0, 0, 0, 4, 2, 18
"c:\Source\anita\app\src\app\libs\db-connector\constants\ds.constant.ts", "TypeScript", 0, 4, 0, 0, 0, 3, 2, 9
"c:\Source\anita\app\src\app\libs\db-connector\crypter\crypt-helper.class.ts", "TypeScript", 0, 49, 0, 0, 0, 36, 17, 102
"c:\Source\anita\app\src\app\libs\db-connector\crypter\decrypter.class.ts", "TypeScript", 0, 26, 0, 0, 0, 17, 8, 51
"c:\Source\anita\app\src\app\libs\db-connector\crypter\encrypter.class.ts", "TypeScript", 0, 26, 0, 0, 0, 17, 8, 51
"c:\Source\anita\app\src\app\libs\db-connector\crypter\options.constant.ts", "TypeScript", 0, 1, 0, 0, 0, 3, 1, 5
"c:\Source\anita\app\src\app\libs\db-connector\crypter\string-crypter.function.ts", "TypeScript", 0, 5, 0, 0, 0, 7, 2, 14
"c:\Source\anita\app\src\app\libs\db-connector\crypter\string-decrypter.function.ts", "TypeScript", 0, 5, 0, 0, 0, 7, 2, 14
"c:\Source\anita\app\src\app\libs\db-connector\db-builder\data-structure-builder.class.ts", "TypeScript", 0, 30, 0, 0, 0, 19, 8, 57
"c:\Source\anita\app\src\app\libs\db-connector\db-builder\default-values.constant.ts", "TypeScript", 0, 4, 0, 0, 0, 9, 4, 17
"c:\Source\anita\app\src\app\libs\db-connector\db-builder\sez-builder.class.ts", "TypeScript", 0, 101, 0, 0, 0, 64, 21, 186
"c:\Source\anita\app\src\app\libs\db-connector\db-builder\sez-definition.ts", "TypeScript", 0, 19, 0, 0, 0, 9, 3, 31
"c:\Source\anita\app\src\app\libs\db-connector\db-connector.class.ts", "TypeScript", 0, 47, 0, 0, 0, 32, 14, 93
"c:\Source\anita\app\src\app\libs\db-connector\models\executers.d.ts", "TypeScript", 0, 101, 0, 0, 0, 36, 18, 155
