Date : 2021-11-21 11:47:39
Directory : c:\Source\anita\app\src
Total : 241 files,  7305 codes, 1693 comments, 1596 blanks, all 10594 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| TypeScript      |        176 |      5,433 |      1,583 |      1,421 |      8,437 |
| SCSS            |         18 |        698 |        110 |        131 |        939 |
| Django Template |         38 |        566 |          0 |         41 |        607 |
| JSON            |          5 |        545 |          0 |          1 |        546 |
| XML             |          4 |         63 |          0 |          2 |         65 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        241 |      7,305 |      1,693 |      1,596 |     10,594 |
| app                                                                                                                                                     |        226 |      6,445 |      1,601 |      1,525 |      9,571 |
| app\data                                                                                                                                                |         13 |        415 |        177 |         64 |        656 |
| app\data\form-models                                                                                                                                    |          3 |        167 |         29 |         10 |        206 |
| app\data\model                                                                                                                                          |          2 |        139 |         72 |         21 |        232 |
| app\data\sections                                                                                                                                       |          4 |         43 |         32 |         12 |         87 |
| app\libs                                                                                                                                                |         66 |      2,038 |      1,124 |        631 |      3,793 |
| app\libs\db-connector                                                                                                                                   |         49 |      1,645 |        890 |        496 |      3,031 |
| app\libs\db-connector\constants                                                                                                                         |          1 |          4 |          3 |          2 |          9 |
| app\libs\db-connector\crypter                                                                                                                           |          6 |        112 |         87 |         38 |        237 |
| app\libs\db-connector\db-builder                                                                                                                        |          4 |        154 |        101 |         36 |        291 |
| app\libs\db-connector\models                                                                                                                            |          1 |        101 |         36 |         18 |        155 |
| app\libs\db-connector\plugins                                                                                                                           |         36 |      1,227 |        631 |        388 |      2,246 |
| app\libs\db-connector\plugins\file-handles                                                                                                              |         11 |        356 |        172 |        102 |        630 |
| app\libs\db-connector\plugins\file-handles\db-deletor                                                                                                   |          1 |         17 |         12 |          8 |         37 |
| app\libs\db-connector\plugins\file-handles\db-insertor                                                                                                  |          1 |         22 |         17 |          7 |         46 |
| app\libs\db-connector\plugins\file-handles\db-selector                                                                                                  |          1 |         45 |         26 |         13 |         84 |
| app\libs\db-connector\plugins\file-handles\db-store                                                                                                     |          1 |         42 |         21 |         16 |         79 |
| app\libs\db-connector\plugins\file-handles\db-updator                                                                                                   |          1 |         22 |         17 |          7 |         46 |
| app\libs\db-connector\plugins\file-handles\helpers                                                                                                      |          5 |        194 |         76 |         49 |        319 |
| app\libs\db-connector\plugins\indexed-db                                                                                                                |          9 |        398 |        184 |        135 |        717 |
| app\libs\db-connector\plugins\indexed-db\db-deletor                                                                                                     |          2 |         55 |         36 |         14 |        105 |
| app\libs\db-connector\plugins\indexed-db\db-insertor                                                                                                    |          1 |         17 |         11 |          5 |         33 |
| app\libs\db-connector\plugins\indexed-db\db-selector                                                                                                    |          1 |         44 |         33 |         15 |         92 |
| app\libs\db-connector\plugins\indexed-db\db-store                                                                                                       |          1 |         42 |          4 |         19 |         65 |
| app\libs\db-connector\plugins\indexed-db\db-updator                                                                                                     |          1 |         17 |         11 |          5 |         33 |
